key,title,type,status,sources
fs-2018-q3-corr,Báo cáo tài chính Quý III năm 2018 (đính chính),document,RECOVERED_LOCAL,https://portal.hnx.vn/vi-vn/ModuleIssuer/UC_Issuer/Details/PCN/UC
fs-2018-q4,Báo cáo tài chính Quý IV năm 2018,document,RECOVERED_PUBLIC_INDEX,https://cafef.vn/du-lieu/pcn-1687312/pcn-giai-trinh-bao-cao-tai-chinh-quy-42018.chn
fs-2018-audited,Báo cáo tài chính năm 2018 (kiểm toán),document,CONFIRMED_FILE_PENDING,https://portal.hnx.vn/vi-vn/ModuleIssuer/UC_Issuer/Details/PCN/UC
gov-2018,Báo cáo quản trị công ty năm 2018,document,RECOVERED_PUBLIC_INDEX,https://cafef.vn/du-lieu/pcn-1318066/pcn-bao-cao-quan-tri-cong-ty-nam-2018.chn
annual-2016,Báo cáo thường niên 2016,document,RECOVERED_PUBLIC_INDEX,https://cafef.vn/du-lieu/pcn-1124062/pcn-bao-cao-thuong-nien-2016.chn
annual-2018,Báo cáo thường niên 2018,document,CONFIRMED_FILE_PENDING,https://portal.hnx.vn/vi-vn/ModuleIssuer/UC_Issuer/Details/PCN/UC
annual-2019,Báo cáo thường niên 2019,document,CONFIRMED_FILE_PENDING,https://simplize.vn/co-phieu/PCN/bao-cao
annual-2023,Báo cáo thường niên 2023,document,RECOVERED_PUBLIC_FILE,https://file.fpts.com.vn/FileStore2/File/2024/04/19/PCN_2024-4-19_00da403_BCTN_DMC_final_da_ky_so.pdf
charter-2018,Điều lệ tổ chức và hoạt động năm 2018,document,RECOVERED_PUBLIC_INDEX,https://cafef.vn/du-lieu/pcn-1098181/pcn-dieu-le-to-chuc-va-hoat-dong-cua-cong-ty.chn
agm-2020-invite,Thư mời họp ĐHĐCĐ thường niên năm 2020,document,RECOVERED_LOCAL,https://cafef.vn/du-lieu/pcn-1395073/pcn-tai-lieu-hop-dai-hoi-dong-co-dong.chn
agm-2020-resolution,Biên bản số 48/BB-DMCN và Nghị quyết số 49/NQ-DMCN ĐHĐCĐ thường niên 2020,document,RECOVERED_PUBLIC_INDEX,https://cafef.vn/du-lieu/pcn-1528039/pcn-nghi-quyet-dai-hoi-dong-co-dong-thuong-nien-nam-2020.chn
